nome,uf,municipio,icon,lat,lng,id,anda,ama,cat
Satis Indústria e Comércio Ltda.,MG,Araxá,fertilizante-agk,-19.5902,-46.9438,3104007,S,N,4
Solo Vivo Indústria e Comércio de Fertilizantes Ltda,PR,Araucária,fertilizante-agk,-25.5859,-49.4047,4101804,S,N,3
SQM - Vitas Brasil Ltda.,BA,Candeias,fertilizante-agk,-12.6716,-38.5472,2906501,S,N,3
Sul Goiana Indústria e Comércio de Fertilizantes Ltda.,GO,Goiatuba,fertilizante-agk,-18.0105,-49.3658,5209101,S,S,3
Sulfabras - Sulfatos do Brasil Ltda,BA,Camaçari,fertilizante-agk,-12.6996,-38.3263,2905701,S,N,3
Superfertil Fertilizantes Ltda.,MG,Patrocínio,fertilizante-agk,-18.9379,-46.9934,3148103,S,S,3
Terrena Agronegócios Ltda.,MG,Patos de Minas,fertilizante-agk,-18.5699,-46.5013,3148004,S,N,4
Timac Agro Indústria e Comércio de Fertilizantes Ltda.,RS,Porto Alegre,fertilizante-agk,-30.0318,-51.2065,4314902,S,N,3
TMF Indústria de Fertilizantes Inteligentes Ltda.,MG,Pains,fertilizante-agk,-20.3705,-45.6627,3146503,S,N,3
Três Tentos Agroindustrial S/A.,RS,Ijuí,fertilizante-agk,-28.3880,-53.9200,4310207,S,S,3
Unifertil Universal de Fertilizantes S/A.,RS,Canoas,fertilizante-agk,-29.9128,-51.1857,4304606,S,S,3
Vamfertil Vamtec Fertilizantes Ltda.,BA,Camaçari,fertilizante-agk,-12.6996,-38.3263,2905701,S,N,3
Verde Fertilizantes Ltda.,MG,Belo Horizonte,fertilizante-agk,-19.9102,-43.9266,3106200,S,S,3
Yara Brasil Fertilizantes S/A.,MG,Porto Alegre,fertilizante-agk,-30.0318,-51.2065,4314902,S,N,3
ADUBOS REAL S/A.,MG,Pouso Alegre,fertilizante-agk,-22.2123663303622, -45.95921961598642,3152501,S,S,3
AGRO SAFRA IND. COM. DE ADUBOS LTDA,SP,Osasco,fertilizante-agk,-23.462,-46.7451,3534401,N,S,3
COMPASS MINERALS AMÉRICA DO SUL IND. E COM. S.A.,SP,Mauá,fertilizante-agk,-23.5336,-46.2792,3529401,N,S,3
FERTIPLANTA IND. E COM. FERT. LTDA,SP,Vargem Grande do Sul,fertilizante-agk,-21.5539,-46.859,3556404,S,N,3
FERTIBOM IND. E COM. DE FERT. LTDA,SP,Catanduva,fertilizante-agk,-20.8502,-48.9063,3511102,N,S,3
FERTICENTRO IND. DE FERTILIZANTES LTDA,SP,Jardinópolis,fertilizante-agk,-21.0283,-47.7786,3525102,N,S,3
PAULIFERTIL IND. E COM. DE FERTILIZANTES LTDA,SP,Várzea Paulista,fertilizante-agk,-22.8867,-46.7636,3556503,N,S,3
IND. E COM. DE AD.BRASIL ATIBAIA LTDA,SP,Atibaia,fertilizante-agk,-22.7264,-46.689,3504107,N,S,3
Agroconsult Consultoria e Projetos Ltda.,SC,Florianópolis,fertilizante-agk,-27.5900, -48.5400,4205407,S,N,3
Amspec Brasil Participações Ltda.,SP,São Paulo,fertilizante-agk,-23.5300,-46.5300,3550308,S,N,3
Argus Média Brasil Relatório de Preços de Energia e Commodity Ltda.,SP,São Paulo,fertilizante-agk,-23.5400,-46.6300,3550308,S,N,3
Bureau Veritas do Brasil Inspeções Ltda.,RS,Rio Grande,fertilizante-agk,-32.0300,-52.9700,4315602,S,N,3
Celqa Análises Técnicas Ltda.,SP,Sorocaba,fertilizante-agk,-23.5062,-47.4559,3552205,S,N,3
Cotecna Serviços Ltda,SP,Santos,fetilizante-agk,-23.9452,-46.3944, 3548500,S,N,3
Intertek do Brasil Inspeções Ltda.,SP,Barueri,fertilizante-agk,-23.5204,-46.8837,3505708,S,N,3
K+S Brasileira Fertilizantes e Produtos Industriais Ltda.,SP,São Paulo,fertilizante-agk,-23.5329,-46.6395,3550308,S,N,3
MB Agro Consultoria e Assessoria em Agronomia S/S Ltda.,SP,São Paulo,fertilizante-agk,-23.5229,-46.6295,3550308,S,S,3
Merrill Lynch Corretora de Titulos e Valores Mobiliários S/A.,SP,São Paulo,fertilizante-agk,-23.5200,-46.6200,3550308,S,N,3
OCP Fertilizantes Ltda.,SP,São Paulo,fertilizante-agk,-23.549,-46.6391,3550308,S,N,3
Phosagro Américas Representações e Negócios Ltda.,PR,Paranaguá,fertilizante-agk,-25.5224,-48.6358,4118204,S,N,5
Union Chemical do Brasil Ltda.,PR,Ibiporã,fertilizante-agk,-23.2724,-51.0332,4109807,S,N,3
Rocha Terminais Portuários e Logística S/A,PR,Paranaguá,fertilizante-agk,-25.5200,-48.5095,4118204,S,N,3
Mosaic,SC,Anitápolis,stone,-27.9012,-49.1316,4201109,,,2
Mosaic,MG,Araxá,stone,-19.5902,-46.9438,3104007,,,4
Itafos,TO,Arraias,stone,-12.9287,-46.9359,1702406,,,4
EDEM Agrominerais,MS,Bonito,stone,-21.1261,-56.4836,5002209,,,2
Mosaic CMOC,GO,Catalão,stone,-18.1656,-47.944,5205109,,,2
Fosforita Olinda,PE,Igarassu,stone,-78.2881,-34.9013,2606804,,,2
Fosnor Galvani,BA,Irecê,stone,-11.3033,-41.8535,2914604,,,2
BEMISA,MT,Jauru,stone,-15.3342,-58.8723,5105002,,,2
Socal Mineração,SP,Juquiá,stone,-24.3101,-47.6426,3526100,,,2
Fosnor Galvani,MG,Lagamar,stone,-18.1759,-46.8063,3137106,,,2
CPRM,PB,Sapé,stone,-70.9359,-35.228,2515302,,,2
Geofoscal,TO,Natividade,stone,-11.7034,-47.7223,1714203,,,2
Fosforita Olinda,PE,Olinda,stone,-80.1017,-34.8545,2609600,,,2
Mosaic,MG,Patos de Minas,stone,-18.5699,-46.5013,3148004,,,4
Mosaic,MG,Patrocínio,stone,-18.973,-46.9934,3148103,,,2
Curimbaba,MG,Poços de Caldas,stone,-21.7883,-46.5692,3151800,,,4
Mineração Morro Azul,MG,Pratápolis,stone,-20.7411,-46.8624,3152907,,,2
Mineração Morro Verde,MG,Pratápolis,stone,-20.7400,-46.8600,3152907,,,2
Nexon Mineração,MG,Presidente Olegário,stone,-18.4096,-46.4165,3153400,,,2
Terra Brasil Fertilizantes,MG,Presidente Olegário,stone,-18.4000,-46.4100,3153400,,,2
Yara Brasil,MG,Serra do Salitre,stone,-19.1083,-46.6961,3166808,,,2
Mosaic,SP,Serra Negra,stone,-22.6139,-46.7033,3551603,,,2
Mosaic,MG,Tapira,stone,-19.9166,-46.8264,3168101,,,2
Aguia Resources,RS,Rio Grande,stone,-32.0349,-52.1071,4315602,,,4
,SC,Abelardo Luz,,,,4200101,,,1
,SP,Bastos,,,,3505807,,,1
,PR,Cafelândia,,,,4103453,,,1
,SC,Campos Novos,,,,4203600,,,1
,PR,Capanema,,,,4104501,,,1
,PR,Carambeí,,,,4104659,,,1
,PR,Cascavel,,,,4104808,,,1
,SC,Chapecó,,,,4204202,,,1
,SC,Concórdia,,,,4204301,,,1
,PR,Curitiba,,,,4106902,,,5
,PR,Dois Vizinhos,,,,4107207,,,1
,RS,Erechim,,,,4307005,,,1
,SC,Faxinal dos Guedes,,,,4205308,,,1
,PR,Francisco Beltrão,,,,4108403,,,1
,SC,Guatambú,,,,4206652,,,1
,SP,Itapetininga,,,,3522307,,,5
,SP,Jundiaí,,,,3525904,,,5
,SC,Capinzal,,,,4203907,,,1
,RS,Lajeado,,,,4311403,,,1
,MT,Lucas do Rio Verde,,,,5105259,,,1
,PR,Mandaguari,,,,4114203,,,1
,PR,Marechal Cândido Rondon,,,,4114609,,,1
,PR,Matelândia,,,,4115606,,,1
,PR,Palotina,,,,4117909,,,1
,PR,Paranaguá,,,,4118204,,,5
,PR,Ponta Grossa,,,,4119905,,,1
,SC,Quilombo,,,,4214201,,,1
,GO,Rio Verde,,,,5218805,,,5
,SP,Tatuí,,,,3554003,,,1
,PR,Toledo,,,,4127700,,,1
,MG,Uberlândia,,,,3170206,,,5
,PR,Ubiratã,,,,4128005,,,1
,SC,Videira,,,,4219309,,,1
,SC,Xaxim,,,,4219705,,,1
,SP,Guapiaçu,,,,3517505,,,1
,MT,Jaciara,,,,5104807,,,1
,RS,Marau,,,,4311809,,,1
,PR,Rolândia,,,,4122404,,,1
,PE,Vitória do Santo Antão,,,,2616407,,,1
